,OLD_SH,WORKAGE_SH,YOUTH_SH,POP_CH,POP_T,pop_density_km2,NETNAT_RATE,year_ref_geo,BIRTHS_RATE,DEATHS_RATE,NETMIG_RATE,NETMOB_RATE,NETMOBMIG_RATE,SEX_RATIO_TOT,MIGRANT_SH,BUILT_S_NRES,BUILT_S_RES,BUILT_S__T,BUILT_V_NRES,BUILT_V_RES,BUILT_V__T,BUILT_H,BUILT_S_CH_NRES,BUILT_S_CH_RES,BUILT_S_CH__T,AIR_TEMP2M,AIR_TEMP2M_DIFF_1981_2010,HOT_DAYS,HOT_DAYS_DIFF_1981_2010,ICING_DAYS,ICING_DAYS_DIFF_1981_2010,TROPICAL_NIGHTS,TROPICAL_NIGHTS_DIFF_1981_2010,EXT_PRECIP_DAYS,EXT_PRECIP_DAYS_1981_2010,PRECIP_SUM,PRECIP_SUM_DIFF_1981_2010,SOIL_MOIST_L1_CH_1981_2018,LST_DAY_SUMMER,LST_NIGHT_SUMMER,CDD_T_22C,HDD_T_15C,CDD_T_22C_CH,HDD_T_15C_CH,UTCI_GT32,UTCI_GT32_DIFF_1981_2010,UTCI_GT38,UTCI_GT38_DIFF_1981_2010,UTCI_GT46,UTCI_GT46_DIFF_1981_2010,FIRE_TOTAL_AREA_SH,RIVER_FLOOD_RP100_POP_SH,COASTAL_FLOOD_RP100_POP_SH,GREEN_AREA_CAPITA,GREEN_AREA_SHARE,FOREST_CH,SOLAR_POWER_POT,WIND_POWER_POT,OOKLA_FIXED_DOWNLOAD_DEV,OOKLA_FIXED_UPLOAD_DEV,OOKLA_MOBILE_DOWNLOAD_DEV,OOKLA_MOBILE_UPLOAD_DEV,MEDIAN_DISP_INC_PC_CURR_PR,GINI,POV_RATE_50,POV_RATE_60,RENT_M2,HOUSING_PRICE_M2,UNEMP_RA_15_64
count,142969.0,142986.0,142789.0,124589.0,143331.0,142931.0,124799.0,125046.0,124930.0,124992.0,102974.0,103856.0,114989.0,142002.0,48299.0,232259.0,232259.0,232259.0,227301.0,227301.0,232259.0,232373.0,206947.0,232368.0,232368.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232382.0,232603.0,232604.0,232382.0,232382.0,232382.0,232382.0,232637.0,232482.0,232637.0,232482.0,232637.0,232637.0,13628.0,225914.0,9647.0,231166.0,231458.0,232093.0,228749.0,232559.0,139373.0,139373.0,124701.0,124701.0,125182.0,21260.0,11764.0,17336.0,139785.0,36505.0,161897.0
mean,22.33850404410635,61.402253543239276,16.259752319383978,0.13756223378739343,12099.037297165303,279.89986137917805,-0.9737522828459021,2021.609647649665,8.74238217659656,10.74339401255664,-0.28319808866952945,1.340051954659285,1.2326579259226926,102.69276424823431,7.926765661448064,49.70468727138016,487.79052462957895,537.495211900959,100.72850341731517,741.07937995298,1543.116365000186,3.052368814026501,48.51888859896353,35.21369444082675,35.4297164463382,12.01471037559274,1.252874417625758,2.3599409421334165,1.3744727690635312,7.833625930985939,-5.014481721892991,13.692406103647777,5.382529182805352,6.210055051124418,0.22446619794161624,959.8753752213439,2.496131873466461,-3.098390285688067,29.694489521931356,14.545907104630478,103.59254450608762,1754.455870018997,45.21388927539608,-270.9358947284519,33.2000627960313,10.924360090913595,4.7556609232408,2.6232139076766727,0.020024110338553086,0.011943498398061542,6.102348224103104,3.6924049534191195,16.396234343233846,197863594.84898928,64.05803957978826,3.6801750316795463,3.451597909390744,338.2439288095309,-33.6194563184582,-31.11677302419515,-38.38168933821628,-28.24682240197216,22513.978207729546,0.24665399811853247,8.813328799727984,13.41693585602215,8.61681324683817,1932.502343861354,10.036829517434251
std,8.059341144518484,5.503089323429468,5.266529961089757,9.629592231938826,247339.4668318176,1104.9038133731706,3.955458858825735,1.057535980927935,4.0679480842590525,6.376386246275682,29.129235192269253,33.14091328686248,16.576575809550047,21.485738942839625,9.755827301488376,8459.463592221455,70408.9446355067,72356.17331050335,5391.488559467798,4985.907812611585,183611.13154427006,2.327396124630385,764.240296948869,181.7630568657341,182.6589128392326,3.103606845283283,0.3180780397367808,6.066722354665965,2.4361270268153135,20.157751346693484,5.350992460032547,34.50694600125174,6.474638225415546,6.954379359481004,1.5111240900820517,381.8647674147707,79.35345674823805,2.9428054405548085,3.906941611832879,2.6655779703991618,162.98592797115438,787.1923051067006,37.013454308208615,91.69465656320872,35.308446039580666,6.505958295629662,11.352006167308968,3.6637312571873326,0.4490937019348126,0.18504289326376797,12.230883893370473,13.726956352203599,28.843185963210733,88257363417.26611,26.581692895136513,51.49578948064447,0.4887090854734432,155.00303558292066,48.20982129626644,60.57209807375396,44.35047766002591,52.37660981291162,3044.3328971553624,0.03880846113944791,4.071515645740169,6.482130871146496,2.045255725302987,1066.5467233597733,5.146727392302574
min,0.0,0.0,0.0,-100.0,0.0,0.0,-88.77551020408163,2016.0,0.0,-6.843890371426933,-638.7096774211982,-986.7686625262768,-88.66995073891626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,-15.254384592736187,-0.6230063339596635,0.0,-26.664639415088082,0.0,-39.95849462365592,0.0,-19.5447983014862,0.0,-58.347939778129934,14.852991131824217,-4417.347643548768,-35.35476705156159,2.6741791274396958,-2.3058897122145097,0.0,0.0,-83.81985953188246,-764.6760481413085,0.0,-14.933333333333337,0.0,-17.242989786443815,0.0,-1.5579272496621712,6.967143701252653e-08,0.0,0.0,0.0,0.0,-99.4475138121547,-56.11130729482317,1.9551549884205308,-99.94151042088605,-99.99605028846524,-99.99810239612675,-99.99348621808252,11780.0,0.169,5.0,5.0,5.532757945661973,257.17932774702126,0.0
10%,13.202120635440695,54.67980295566503,10.181415413213472,-9.509906375229532,127.0,8.306301772746147,-5.454545454545454,2021.0,4.147254713208594,4.624631242512662,-25.665618025627296,-22.834461817529967,-6.722689075630252,90.72164948453609,0.6657451976340052,0.0,100.82888808182858,113.34167938370727,0.0,361.8923141023169,382.7883532680808,2.5,2.447742647198677,15.06724566802985,15.02588371214646,9.09229688616291,0.854657872412606,0.0,0.0,0.0,-14.420450901485097,0.22711864406779664,0.11582270944961119,1.8,-1.2657664040718406,688.7448395314182,-87.30969785621718,-6.729830085112808,25.149137749742778,11.948564284289086,10.661654015600599,1043.2275385544062,6.81538379960339,-359.8776448355761,5.2,2.6286309523809535,0.0,0.0,0.0,0.0,0.06720144888677008,0.0,0.0,1199.9420645523817,25.002039766223405,-4.1237113402061745,3.0038196732935925,172.45163649775182,-90.93681722226053,-96.79735294311077,-85.53470180303022,-84.40720465224022,19360.0,0.206,5.0,7.0,6.665516315125657,956.4058026932818,4.486616009866359
20%,16.05839416058394,57.46678294673621,12.345679012345679,-6.016847172081829,228.0,15.641083074449105,-3.4334763948497855,2021.0,5.840239563464596,6.191546713285507,-11.795520307107084,-9.746801569591112,-3.774741750671728,93.98664824872542,1.3453592720572618,0.5806055142751295,134.91035262012747,147.25377105049466,1.6444148627119601,436.0333452583699,465.1891767694072,2.5,6.962025316455696,19.494775308868608,19.509928883700432,10.343569281150678,1.0833820006323278,0.0,0.0,0.0,-9.190095571947648,1.22,0.8602339181286547,2.3483546778395152,-0.6999999999999998,765.9793193969314,-57.119312723189104,-5.8566023153458575,26.972311797653173,12.661710297138926,23.339876887003832,1261.6448962460697,15.4535693598841,-336.83590788099445,11.6,5.2,0.1833333333333333,0.025,0.0,0.0,0.21117920491971454,0.0,0.013318735016912116,2803.9601103531754,37.973250202965176,0.0,3.075842268789485,223.78550276637407,-80.44216705828681,-88.81390069521017,-75.35574072563871,-70.35718164928613,20270.0,0.217,5.0,8.0,7.102616460259029,1158.8608321207814,6.106870229007634
30%,18.040012191339176,59.27384891094568,13.720023400567285,-3.8134478877634024,361.0,23.988162263186272,-2.2222222222222223,2022.0,6.930676781322322,7.4699863556399775,-3.7919743163605526,-4.132257837706103,-2.0759555707652586,96.23029071199804,2.16325414128529,1.233277592828946,159.52227194897242,171.75344827868307,3.472038638872199,496.5339443327604,532.9911950192669,2.5,11.734928670041416,23.092976442079863,23.112624718129304,11.211576750121253,1.1890424863049933,0.2,0.09999999999999999,0.2962962962962963,-6.2333333333333325,2.0347826086956524,1.6333333333333335,2.793939393939394,-0.34141414141414145,803.1106203475931,-24.908715194246174,-4.886020189960652,28.002879903033715,13.250004035545373,32.93058246525811,1446.3824627459448,21.46658383492604,-318.63070507065004,14.8,6.647833674927024,0.8,0.5,0.0,0.0,0.47632982828439246,0.0,0.12427967029590832,4836.045062302477,48.55602420449482,0.0,3.146440528018615,259.11032452442805,-67.53760078558663,-76.01168355856831,-66.03984114814732,-58.09112434888169,20910.0,0.225,6.0,9.0,7.4688674724123665,1332.9699361742917,7.220552930023957
40%,19.762559182333803,60.67709643342221,14.877956546706436,-1.9748653500897666,558.0,34.92020561437978,-1.3333333333333333,2022.0,7.818935647631286,8.635446739210897,-0.0781049991491033,-1.574286651361102,-0.7273409837464268,98.13084112149531,3.196564885496183,2.279815637666278,181.9702417823124,195.2894850365573,6.579802439794549,554.3383694680723,600.9400456070789,2.501406990441773,16.935026093325607,26.48579868845102,26.540234514024252,11.599467281030392,1.2692482466976251,0.6,0.36666666666666664,0.7165939188597138,-4.166666666666667,3.1405285797974787,2.4549720256151004,3.2,-0.0666666666666667,840.5227284464424,-3.599688170525967,-4.051290842047184,28.818189932354834,13.71074616665501,45.943713714901506,1585.9691706244114,28.901503417454286,-301.23931491427834,20.160497312906074,8.42083333333333,1.6,1.1666666666666665,0.0,0.0,0.8809524666988876,0.0,0.5229905772367487,7552.0731340071725,58.058592401775066,0.0,3.2348295574926107,290.7906442390294,-54.64675974782265,-59.31550249475342,-56.40673527328249,-46.67029051190459,21470.0,0.232,7.0,10.0,7.827392257194149,1498.8795695425786,8.252506153357462
50%,21.44160583941606,61.90430489150698,16.049382716049383,-0.28328611898017,862.0,49.355484550834014,-0.554016620498615,2022.0,8.6367062959572,9.770881245630441,0.4789845596163994,0.0,0.5555555555555556,100.0,4.477611940298507,4.319616645911396,205.3583951377764,220.3070504019569,13.0399890161134,619.4341567711821,675.8745453331273,2.553082051701571,22.905027932960895,30.034419658417566,30.13967735050528,11.94834884117795,1.3266402949298337,0.9648324324324324,0.6451612903225807,1.3846153846153846,-3.0843137254901962,4.3310576414595445,3.319047619047619,3.8,0.16666666666666713,879.3529112051037,12.038696197460524,-3.131334137539765,29.619908555455037,14.168901439522173,59.58948580424046,1661.6037854766807,37.70889441293407,-283.04089684905057,24.621052631578944,10.462123463218493,2.4,1.7666666666666664,0.0,0.0,1.521163517254835,0.0,1.5732380285661853,11239.023090293205,67.31499531666651,0.0,3.3573324403188862,321.1105189748021,-40.27455841529017,-39.93665508607222,-46.62871894880489,-35.54752951312398,22060.0,0.239,8.0,12.0,8.170641035538521,1674.6932838638986,9.293259511817729
60%,23.270440251572328,63.01728653745416,17.289719626168225,1.3888235140294458,1395.0,70.3471835251781,0.08806877814098071,2022.0,9.429358151142498,10.955845674914146,1.6211102763131298,2.31473771856786,1.9027484143763214,101.97371620670384,6.234396095036504,8.15835025661512,233.38479347458,249.69880412724297,25.620531607176282,695.2804583284573,763.2647340959721,2.647040525807172,29.972460811273173,33.926184886596566,34.09243960504975,12.354553090263346,1.3822301661068446,1.3940315638450516,1.0133333333333332,1.6,-2.2666666666666666,5.8,4.247953216374269,4.830508474576272,0.42857142857142916,930.8492731450239,23.76700529170011,-2.28901309030225,30.404126523369413,14.694858874927297,75.41494981355551,1785.4345032205997,46.2577452396236,-267.95890652354217,30.6,12.342857142857145,3.384615384615384,2.5,0.0,0.0,2.5705463696348354,0.0,4.356536989561379,16742.07231176776,76.19034690039572,0.0,3.467859533612341,351.12541856045107,-24.417381307933805,-21.63408717886009,-35.6913835391975,-24.493127300138188,22710.0,0.248,9.0,14.0,8.564295708935118,1885.0558233509005,10.416666666666666
70%,25.40139458110938,64.16668328105649,18.615751789975697,3.2934131736526946,2487.0,105.54555480173579,0.9135027119611762,2022.0,10.29887766862086,12.334948150853462,4.043061349885938,6.064174608181986,3.4482758620689653,104.63210072061854,8.623292990522529,14.190269509059865,271.6248372792036,288.59691280850825,48.956511714874615,792.9141359165812,874.1377221690843,2.8030971050574314,39.66544053249256,38.65954086092411,38.87513188777158,12.859582945588878,1.43848594497872,2.0,1.4666666666666668,3.2303030303030313,-1.4,8.008618673119539,5.593939393939395,6.552307692307693,0.733333333333334,997.2962732944077,35.92482398975936,-1.5347417667628622,31.238969985965863,15.376924256704859,99.61742721557712,1906.196125081376,55.975972248864934,-242.74100186241958,37.6,14.633333333333335,4.2,3.1333333333333337,0.0,0.0,4.386366309704737,0.0,10.888170386371117,25916.297924602357,84.66521299198963,0.0,3.573988722867069,383.9654547813676,-8.248568870458824,-4.348535038853439,-23.34735578394129,-11.91251258325077,23470.0,0.258,10.0,15.0,9.035157933901559,2143.306225517402,11.764705882352953
80%,28.176991581155864,65.5011655011655,20.192106322996377,5.74857864813645,5091.0,180.65394234406216,1.8148820326678765,2022.0,11.411350220752583,14.173883579397177,10.197540096096706,13.003491253036092,5.57960441124399,108.64197530864197,12.249061869008951,23.265626771551496,329.8985499747759,347.4109234062376,93.75412281786029,932.58736274571,1029.9902484636375,3.1002421659581803,54.74626865671641,44.89884446640295,45.281140118866105,13.76792467168033,1.4999590590347434,2.8,2.1243445692883896,7.2,-0.7620682101070436,13.125490196078431,8.19625272331155,9.142423042304243,1.1061309186945867,1106.316622333889,48.71654725103626,-0.639353120242316,32.29227088248313,16.179726967152703,137.58484515687266,2132.6128703562376,69.76082191596001,-223.54453110597666,48.772093023255806,16.76666666666667,5.8,3.9,0.0,0.0,8.002126033098802,0.0,26.524872024530804,42940.575572918104,91.85902934018911,1.7021276595744605,3.773498886785788,430.1889115377532,8.022598572275923,14.9294406423609,-7.623954050481601,3.308781943012611,24450.0,0.271,12.0,18.0,9.74046398466807,2514.8709224237737,13.501336398619788
90%,32.44688102800621,67.33737845404585,22.578568730135387,10.0,14088.0,455.88911016452636,3.0905077262693155,2022.0,13.234609459229405,17.502287873280167,23.623962204918033,26.529863598003583,9.327983951855567,117.19224065277358,19.54372446342317,40.413050085613,435.1243953099388,453.72697699244,189.26019714650448,1181.4451422423442,1297.9617428088352,3.9247588933739737,86.81880108991825,55.49250510945685,56.20379324741088,14.878434601645882,1.5599910560878913,5.0,3.333333333333333,17.869612888586335,-0.05991796581397274,28.517677395302588,13.350505050505053,13.545731895223419,1.6880952380952388,1322.7531212691679,71.48695756616058,0.5407819383279311,33.94499517284964,18.16423141551457,213.79846127786845,2507.650398939696,93.65157964766823,-152.85245588391567,65.21250136836342,19.366666666666664,10.355555555555556,5.866666666666667,0.0,0.0,16.832346864964176,6.391172961848051,66.6668414845852,84429.97022925051,96.9124648939407,9.859154929577453,4.162815364615796,514.126026406301,27.870924065815263,42.798169221229806,16.838407438012712,29.33148618510162,26080.0,0.295,14.0,22.0,10.941089329096018,3220.8934640558914,16.28204237280921
max,100.0,100.0,65.0,1010.0,83237124.0,60341.764400948734,113.33333333333333,2023.0,166.66666666666666,151.94520871741068,972.2949783157505,2680.0,2666.6666666666665,5528.571428571428,100.0,3387762.2375443103,32587107.509988964,32587107.509988964,1957420.6402436558,2131243.3538374417,81492763.68006156,255.0013653307593,245580.00000000003,59634.84390735145,60128.700906344406,28.66656106859467,2.473709386878881,178.90678145262362,64.54529128339902,272.2715275486638,20.93333333333333,364.2,95.59447731755427,287.795652173913,35.78333333333334,19433.441242469453,2071.95436349,28.099916708399952,54.83423792598944,29.373165694879173,2425.2739587361475,10968.854614753556,512.8557535490661,265.9322066472605,365.0,60.1117151285293,325.7264847512039,94.20390363815143,61.63723688606749,18.909664216505178,100.0,100.0,100.0,42368886766822.96,100.00000000000001,9024.999999999998,6.224012616331922,3401.140350190717,419.91417659765773,976.7113103050051,830.9754917562391,738.563466704558,51340.0,0.701,36.0,53.0,30.8374889477588,16782.63414422389,100.0
