iso3,geo_level,AGE_DEP_YEAR,POP_CH_YEAR,POP_T_YEAR,POP_DENS_YEAR,NAT_YEAR,year_i,year_f,MIGFLOW_YEAR,SEX_RATIO_YEAR,MIGRANT_SH_YEAR,BUILT_S_YEAR,BUILT_V_YEAR,BUILT_H_YEAR,year,BUILT_S_CH_YEAR,TEMP_YEAR,HOT_DAYS_YEAR,ICING_DAYS_YEAR,TROPICAL_NIGHTS_YEAR,PRECIP_YEAR,DROUGHTS_YEAR,LST_YEAR,UTCI_YEAR,DD_YEAR,FIRE_YEAR_x,FIRE_YEAR_y,RIVER_FLOOD_YEAR,COASTAL_FLOOD_YEAR,GREEN_AREAS_YEAR,FOREST_YEAR,SOLAR_POWER_YEAR,WIND_POWER_YEAR,OOKLA_YEAR,INC_YEAR,GINI_YEAR,POV_YEAR,RENT_YEAR,HOUSE_PRICE_YEAR,UNEMP_YEAR
AUS,sau3,2021.0,,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2016.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
AUS,sau3,2021.0,,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2016.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2022-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
AUT,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
AUT,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
BEL,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
BEL,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
CAN,sau3,2020.0,,2020.0,2020.0,,,,,2020.0,2016.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
CAN,sau3,2020.0,,2020.0,2020.0,,,,,2020.0,2016.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
CHE,sau3,2021.0,2016-2021,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2001.0,2019.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
CHL,sau3,2022.0,2016-2021,2022.0,2022.0,2015-2019,,,,,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
COL,sau3,2026.0,,2026.0,2026.0,,,,,2026.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
COL,sau3,2026.0,,2026.0,2026.0,,,,,2026.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
CRI,sau3,2019.0,,2019.0,2019.0,,,,,2019.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
CZE,sau3,2020.0,2015-2020,2020.0,2020.0,2016-2020,2016.0,2020.0,2016-2020,2020.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
DEU,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2022.0
DNK,sau3,2022.0,2017-2022,2022.0,2022.0,2018-2022,2018.0,2022.0,2018-2022,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ESP,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ESP,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,2017.0,2021.0,2017-2021,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
EST,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
EST,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
FIN,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
FRA,sau3,2019.0,2014-2019,2019.0,2019.0,2017-2021,2015.0,2019.0,2015-2019,2019.0,2018.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,2020.0,2020.0,2020.0,2022.0,2021.0,2019.0
FRA,sau3,2019.0,2014-2019,2019.0,2019.0,2017-2021,2015.0,2019.0,2015-2019,2019.0,2018.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,2020.0,2020.0,2020.0,2022.0,2021.0,2019.0
GBR,sau3,2021.0,2015-2020,2021.0,2021.0,2016-2020,2016.0,2020.0,2016-2020,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
GBR,sau3,2021.0,2015-2020,2021.0,2021.0,2016-2020,2016.0,2020.0,2016-2020,2021.0,2021.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
HUN,sau2,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,,,,,,,
IRL,sau3,2016.0,,2016.0,2016.0,,,,,2016.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ISL,sau3,2023.0,2017-2022,2023.0,2023.0,2018-2022,2018.0,2022.0,2018-2022,2023.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ISL,sau3,2023.0,2017-2022,2023.0,2023.0,2018-2022,2018.0,2022.0,2018-2022,2023.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
ISR,sau3,2021.0,,2021.0,2021.0,,,,,2021.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
ISR,sau3,2021.0,,2021.0,2021.0,,,,,2021.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,,,,,,,
ITA,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
ITA,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,2022.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,2021.0
JPN,sau3,2020.0,2015-2020,2020.0,2020.0,2016-2020,,,,2020.0,2019.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
JPN,sau3,2020.0,2015-2020,2020.0,2020.0,2016-2020,,,,2020.0,2019.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2020-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
KOR,sau3,2021.0,2015-2020,2021.0,2021.0,2017-2021,,,,2021.0,2020.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LTU,sau3,2023.0,2017-2022,2023.0,2023.0,2018-2022,2017.0,2021.0,2017-2021,2023.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,2020.0,2020.0,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LUX,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,,2011.0,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,,2017-2021,2020.0,,2021.0,2000-2020,2022,2022,2022.0,,,,,,
LVA,sau3,2022.0,2016-2021,2022.0,2022.0,2017-2021,2017.0,2021.0,2017-2021,2022.0,,2020,2020,2018,2020,2000-2020,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2018-2022,2017-2021,2017-2021,,,,2000-2020,2022,2022,2022.0,,,,,,
